title,artist
flowers,miley cyrus
vibe (feat. jimin of bts),taeyang
"shakira: bzrp music sessions, vol. 53",bizarrap & shakira
anti-hero,taylor swift
unholy,sam smith & kim petras
wait in the truck,hardy & lainey wilson
made you look,meghan trainor
heart like a truck,lainey wilson
people get ready,jeff beck & rod stewart
son of a sinner,jelly roll
lift me up (from black panther: wakanda forever - music from and inspired by),rihanna
thought you should know,morgan wallen
temperature,sean paul
thank god,kane brown & katelyn brown
separate ways (worlds apart) [feat. lzzy hale],daughtry
i'm good (blue),david guetta & bebe rexha
runs in the water,royale lynn
i ain't worried,onerepublic
something in the orange (z&e's version),zach bryan
unstoppable,sia
bloody mary,lady gaga
rock and a hard place,bailey zimmerman
hurts to love you,nick carter
you proof,morgan wallen
one thing at a time,morgan wallen
calm down,rema & selena gomez
i ain't a bitch,alaura lynne
as it was,harry styles
players,coi leray
wasted on you,morgan wallen
creepin',"metro boomin, the weeknd & 21 savage"
kill bill,sza
golden hour,jvke
hold my hand,lady gaga
the kind of love we make,luke combs
freeway jam,jeff beck
hold me closer,elton john & britney spears
mine,bazzi
"going, going, gone",luke combs
fall in love,bailey zimmerman
cooler than me (single mix),mike posner
cuff it,beyoncé
igloo,"french montana, dj drama & rob49"
what my world spins around,jordan davis
free smoke (feat. big30),"french montana, dj drama & est gee"
new punani,"french montana, dj drama & cheeze"
rza,"french montana, dj drama & benny the butcher"
cause we've ended as lovers,jeff beck
ghost,tom macdonald
the oath,"chinx, dj drama & french montana"
under the influence,chris brown
bebe dame,fuerza regida & grupo frontera
forever,"french montana, dj drama & mr.chicken"
choose you,"french montana, dj drama & jeremih"
gratitude,brandon lake
addicted to you,"french montana, dj drama & cheeze"
about damn time,lizzo
not so bad,french montana & dj drama
trench,fetish
can't stop won't stop (remix) [feat. kodak black],"king combs, french montana & dj drama"
lights out,lisa marie presley
million dollar baby,ava max
project baby (remix),"vory, dj drama & french montana"
wreckage,nate smith
chit chat (feat. dj drama),"french montana, smooky margielaa & a$ap rocky"
intro (feat. cheeze),"french montana, stove god cooks & dj drama"
que vuelvas,carin leon & grupo frontera
i'm good (blue),david guetta & bebe rexha
on wat u on,moneybagg yo & glorilla
heart full of soul (2015 remaster),the yardbirds
need a favor,jelly roll
tishomingo,zach bryan
tennessee whiskey,chris stapleton
shivers,ed sheeran
daydream,lily meola
it's a beautiful day (reprise),the kiffness & rushawn
tennessee orange,megan moroney
victoria’s secret,jax
build a boat,colton dixon
die for you,the weeknd
she had me at heads carolina,cole swindell
how do i say goodbye,dean lewis
something in the orange,zach bryan
the summoning,sleep token
until i found you,stephen sanchez
chasin' you,morgan wallen
going yeezy,"french montana, dj drama & cheeze"
sure thing,miguel
way of the triune god (hallelujah version),tyler childers
just wanna rock,lil uzi vert
forget me,lewis capaldi
goo goo muck,the cramps
run away to mars,talk
sober,p!nk
i'm a believer,the monkees
no horse to ride,luke grimes
goodness of god (live),cece winans
handle on you,parker mccollum
for your love,the yardbirds
watermelon moonshine,lainey wilson
